Name	Capital	Population
Afghanistan	Kabul	42239854
Albania	Tirana	2832439
Algeria	Algiers	45606480
Andorra	Andorra la Vella	80088
Angola	Luanda	36684202
Antigua and Barbuda	Saint John's	94298
Argentina	Buenos Aires	45773884
Armenia	Yerevan	2777970
Australia	Canberra	26439111
Austria	Vienna	8958960
Azerbaijan	Baku	10412651
Bahamas	Nassau	412623
Bahrain	Manama	1485509
Bangladesh	Dhaka	172954319
Barbados	Bridgetown	281995
Belarus	Minsk	9498238
Belgium	Brussels	11686140
Belize	Belmopan	410825
Benin	Porto-Novo	13712828
Bhutan	Thimphu	787424
Bolivia	La Paz	12388571
Bosnia and Herzegovina	Sarajevo	3210847
Botswana	Gaborone	2675352
Brazil	Brasilia	216422446
Brunei	Bandar Seri Begawan	452524
Bulgaria	Sofia	6687717
Burkina Faso	Ouagadougou	23251485
Burundi	Gitega	13238559
Cape Verde	Praia	598682
Cambodia	Phnom Penh	16944826
Cameroon	Yaounde	28647293
Canada	Ottawa	38781291
Central African Republic	Bangui	5742315
Chad	N'Djamena	18278568
Chile	Santiago	19629590
China	Beijing	1425671352
Colombia	Bogota	52085168
Comoros	Moroni	852075
Congo	Brazzaville	6106869
Costa Rica	San Jose	5212173
Croatia	Zagreb	4008617
Cuba	Havana	11194449
Cyprus	Nicosia	1260138
Czech Republic	Prague	10495295
Côte d'Ivoire	Yamoussoukro	28873034
Democratic Republic of the Congo	Kinshasa	102262808
Denmark	Copenhagen	5910913
Djibouti	Djibouti	1136455
Dominica	Roseau	73040
Dominican Republic	Santo Domingo	11332972
Ecuador	Quito	18190484
Egypt	Cairo	112716598
El Salvador	San Salvador	6364943
Equatorial Guinea	Malabo	1714671
Eritrea	Asmara	3748901
Estonia	Tallinn	1322765
Eswatini	Mbabane	1210822
Ethiopia	Addis Ababa	126527060
Fiji	Suva	936375
Finland	Helsinki	5545475
France	Paris	64756584
Gabon	Libreville	2436566
Gambia	Banjul	2773168
Georgia	Tbilisi	3728282
Germany	Berlin	83294633
Ghana	Accra	34121985
Greece	Athens	10341277
Grenada	Saint George's	126183
Guatemala	Guatemala City	18092026
Guinea	Conakry	14190612
Guinea-Bissau	Bissau	2150842
Guyana	Georgetown	813834
Haiti	Port-au-Prince	11724763
Holy See	Vatican City	518
Honduras	Tegucigalpa	10593798
Hungary	Budapest	10156239
Iceland	Reykjavik	375318
India	New Delhi	1428627663
Indonesia	Jakarta	277534122
Iran	Tehran	89172767
